Category,Number of Restaurants,Average # of Reviews per Restaurant,Percentage of Ratings
American (New),7,277.0,4.357142857142857
American (Traditional),5,635.4,4.2
Bars,1,39.0,4.5
Burgers,29,482.13793103448273,4.068965517241379
Diners,1,335.0,4.0
Gastropubs,1,368.0,4.5
Halal,1,265.0,4.0
Hot Dogs,1,274.0,4.0
Pizza,1,540.0,4.0
Seafood,1,5274.0,4.0
Southern,1,28.0,5.0
Wine Bars,1,196.0,4.5
