,Business,Business ID,City,State,Category,Latitude,Longitude,Price,Reviews
710,Milkflower,1OZPOWZwJr-hpvMt6TD4ug,Astoria,NY,Pizza,40.7628961,-73.9207081,$$,605
711,Benito One,DI_FoHY84hfzTWwlzF76aw,New York,NY,Italian,40.7200188460948,-73.9969412164592,$$,684
712,Ramen Misoya,b7Eg41LKjL2BtOXEqVCoeQ,New York,NY,Ramen,40.7285309,-73.988121,$$,889
713,Franchia Vegan Cafe,LjBKkUSpMwrpo99hXgtHYw,New York,NY,Korean,40.7474712051298,-73.9812423408763,$$,882
714,Milk & Honey Cafe,x_YWFkTcxEu1lo8Nlrog5A,Brooklyn,NY,Coffee & Tea,40.634356735221,-73.9661046515558,$$,919
715,&pizza,t0Bel7xLMUt5g8qIpBylZg,New York,NY,Pizza,40.745294,-73.9880992,$$,390
716,Governors Island National Monument,NU0PxRWTYoLKZRTy9JT_jg,New York,NY,Landmarks & Historical Buildings,40.6913770268785,-74.0164375305176,0,303
717,Rasa,EbX_9tqAJs4gW51gZpOB7g,New York,NY,Malaysian,40.7327654,-73.9975674,$$,668
718,Pippali,HEs6llkn3wIP1ATXeIZQew,New York,NY,Indian,40.74233,-73.98331,$$,716
719,Tia Pol,fUxRTikmfHnURZ26lD2y4Q,New York,NY,Tapas Bars,40.7473,-74.00481,$$,681
720,The Musket Room,vscYK65F_MUH8WqACKSdog,New York,NY,American (New),40.72392,-73.99378,$$$,428
721,Spice Symphony,Va_mnsEvBghHXvc7uZIWJQ,New York,NY,Indian,40.744722,-73.981202,$$,577
722,Madame Vo,m2Zsy2UAkcDf0cRzk2Yoqw,New York,NY,Vietnamese,40.72925,-73.98612,$$,723
723,Billy's Bakery,F7UeBLZHOtyxz2rTNnmt3Q,New York,NY,Bakeries,40.745323,-74.001861,$$,1205
724,Spicy Village,8ig0yf0003DAp4YOGTlbVg,New York,NY,Chinese,40.71695,-73.99327,$,623
725,Oasis,JdXqygDw4yXQcy5lw9VI4A,Brooklyn,NY,Middle Eastern,40.7177548450764,-73.9573632606763,$,608
726,Boqueria Spanish Tapas - Upper East Side,5S8ZK9XLdl4l645twbNYZQ,New York,NY,Tapas/Small Plates,40.771522,-73.956073,$$$,699
727,The Winslow,3NbhYebjZPjLTWZZyRuhsw,New York,NY,Pubs,40.7327766418457,-73.9852142333984,$$,504
728,Stone Park Cafe,IZw7SfYpvXMFLErXBMDKVQ,Brooklyn,NY,American (New),40.67297,-73.98332,$$,893
729,Socarrat Paella Bar - Chelsea,DiHm4iIAQhqMKfjsrBPvZw,New York,NY,Spanish,40.7427204,-73.9995147,$$$,1120
730,Vinnie's Pizzeria,lxPVSGnZ7YTiO5OGrqBS8Q,Brooklyn,NY,Pizza,40.718925,-73.956878,$,646
731,Ladurée SoHo,TmEPtynTP1qoTqwUbGKyGw,New York,NY,Tea Rooms,40.7243938986329,-74.0024885117088,$$$,1431
732,Agora Turkish Restaurant,7gZGVdqMch7ls0IGO3DijQ,New York,NY,Turkish,40.77492,-73.95412,$$,514
733,OddFellows Ice Cream Co.,05UVA6p1mRIy9rOAN-oJNQ,Brooklyn,NY,Ice Cream & Frozen Yogurt,40.7181163,-73.9637241,$$,560
734,Loi Estiatorio,H87m0azdhuw5uo6Y166uUg,New York,NY,Greek,40.765385,-73.978002,$$$,336
735,Tavola,V3USzFEGhuoXez4G2Rk11A,New York,NY,Italian,40.755403,-73.994516,$$,888
736,Sorriso Italian Pork Store,tjF4QzhBnJex6Ap2PnDW7g,Astoria,NY,Meat Shops,40.7621401,-73.9116109,$,320
737,Ten Degrees Bar,-p7dvuKa91_4B-aiFIFB8Q,New York,NY,Gastropubs,40.72692,-73.98342,$$,820
738,Amaranto Mexican Restaurant,95a04LtXLX6gePhPEwff9A,Brooklyn,NY,Mexican,40.703111,-73.921892,$$,329
739,Emily,NDIrifAl6K-RrnZ2D3ZGbw,Brooklyn,NY,American (Traditional),40.68351,-73.96643,$$$,728
740,Baker & Co,h9rymMeMUMOxQ9d93U0YDg,New York,NY,Italian,40.7313423,-74.0028996,$$,604
741,Oceanic Boil,20LSOx_4K2wghTsUx4gSsg,Jackson Heights,NY,Cajun/Creole,40.7498297,-73.8821356,$$,487
742,Distilled,0EtZ1xhnXWp4-ysNVwItYA,New York,NY,American (New),40.7189994,-74.0062975,$$,760
743,Trattoria Dell'Arte,LXdblKc5g1Dp17xiV-Am1w,New York,NY,Italian,40.765295646702,-73.98046281606,$$$,966
744,Totto Ramen - Midtown East,RjeW_l8OF99rn5df5-Rj4g,New York,NY,Ramen,40.7562184833974,-73.9679722894107,$$,1088
745,Junoon,DZE4ThXa7d0kSXnR3Hb-kg,New York,NY,Indian,40.743193,-73.990838,$$$,1414
746,Madison Square Park,R3ci6iQRLIIK0Eq1-cY_pw,New York,NY,Parks,40.7422133587202,-73.9879736510651,0,370
747,Antica Ristorante,0Tvwk0hvgaY0QVIsZGTZKQ,New York,NY,Italian,40.7039355145338,-74.0121731758117,$$$,482
748,Pasticceria Rocco,JWLRT0dkdaC7AHtYapWbGw,New York,NY,Bakeries,40.73083,-74.00265,$$,996
749,Empire Cake,ltReUN5LQiaFVNdpNBes3Q,New York,NY,Bakeries,40.74078,-74.00155,$$,576
750,Bistango,cnMNL1O_dVtCdTyQwwOwOQ,New York,NY,Italian,40.7425771,-73.9800892,$$,683
751,Gray's Papaya,477o_-7VmcnTokazWtEa0A,New York,NY,Hot Dogs,40.7783783121866,-73.9815581747816,$,1345
752,Keki Modern Cakes,pHfsXEPHkGXkmGo-PbwB6w,New York,NY,Bakeries,40.71656,-73.99822,$$,522
753,Waldy's Wood Fired Pizza & Penne,na-2_gQCY7ccS2ZkLJDumQ,New York,NY,Pizza,40.7457666039821,-73.9906402533629,$,798
754,Pita Palace,CCBy_QYHbTtPrAKHS3pqHg,Brooklyn,NY,Middle Eastern,40.7172485,-73.9448511,$,216
755,Robert,h8XLhVVPoYPYodZqQOjRMw,New York,NY,American (New),40.767394,-73.982036,$$$,896
756,Khe-Yo,BKMCAYb9EAivUm3p-vrC9w,New York,NY,Laotian,40.716906,-74.008587,$$,700
757,Vandal,6GwOwhHPW8YCSfaOtM-55Q,New York,NY,American (New),40.72104,-73.99326,$$$,1375
758,Peng's Noodle Folk,0vg2Z-HPwkyVVX613j2ysg,New York,NY,Chinese,40.77726,-73.94932,$$,407
759,Miti Miti,trOfIBnEr_CxZuLRyGj9FQ,Brooklyn,NY,Latin American,40.6786672454389,-73.9791200818081,$$,820
760,TØRST,TDyu1-6XF7r1jc13j7nDNA,Brooklyn,NY,Beer Bar,40.7233949,-73.950856,$$,387
761,Galata Mediterranean Cuisine,1u_vkRFPuT8Aeh7Zk3bKyw,New York,NY,Turkish,40.74531,-73.97753,$$,327
762,Carmine's Italian Restaurant - Upper West Side,mTWlEiCUEBlxBAkIikkB1A,New York,NY,Italian,40.791077,-73.973763,$$,1287
763,Tartine,0Q13lJ3OHXOuBVpN6jeTjw,New York,NY,French,40.7362899,-74.00344,$$,964
764,Uncle Gussy's,VGTrGSH38A4n-v5nFe4skA,New York,NY,Food Trucks,40.7576813278964,-73.9732953737526,$,446
765,Ninja New York,P8YbK6_2TnXHojrs0ycisg,New York,NY,Japanese,40.71673,-74.0093,$$$,1682
766,Chip NYC,TthttjDCINv6jOV28bEphg,Astoria,NY,Bakeries,40.7655337630129,-73.9192518515278,$$,575
767,Mysttik Masaala,S6r0P0PItA9EYHV1nCiQgg,New York,NY,Food Trucks,40.75932,-73.97209,$,358
768,Pepolino Restaurant,MeUq9lombxM9alxs64tejQ,New York,NY,Tuscan,40.72077,-74.00489,$$$,534
769,MangoSeed Restaurant,DVSm03qNU7zE1mv1QSKnsA,Brooklyn,NY,Caribbean,40.6541492290788,-73.9593708515167,$$,787
770,El Mate,L0XYugkXpuACPMQ451MB8g,Brooklyn,NY,Brazilian,40.6749782203506,-73.9995224876405,$$,284
