,Business,Business ID,City,State,Category,Latitude,Longitude,Price,Reviews,Rating
4697,Panes Bread Cafe,skpDldmlZlw6e82tpiVyrg,Chicago,IL,Sandwiches,41.9364856920137,-87.6542047151184,$,733,4.5
4698,Maude's Liquor Bar,BmqLmgX7i-pM-0h_xzbwMA,Chicago,IL,French,41.88466,-87.64908,$$$,1001,4.0
4699,Beatrix Streeterville,0VEE9H6OuGaswhC70tjKeQ,Chicago,IL,American (New),41.8944242,-87.622564,$$,820,4.5
4700,Big Star,_StOUGMGMmENR44zAEoDrA,Chicago,IL,Mexican,41.9093,-87.67718,$$,3185,3.5
4701,Prime & Provisions,3Q_N0K28SRJbPy2sz0QqVw,Chicago,IL,American (Traditional),41.886635,-87.63282,$$$$,1058,4.5
4702,The Bad Apple,GEpXn9rtTMtIj5NsGFiNQw,Chicago,IL,Burgers,41.959767,-87.682822,$$,1505,4.0
4703,Bar Siena,0hfDRVaGSydijN5du1HCzg,Chicago,IL,Italian,41.88466,-87.64885,$$,1322,4.0
4704,The Chicago Diner,xdx3hwHT-m6_heZrKyH7vg,Chicago,IL,Vegan,41.9237447433269,-87.6982310134918,$$,829,4.5
4705,Lawrence Fish Market,uQFHfnbJm7LIxLhjMKc4mQ,Chicago,IL,Sushi Bars,41.968411,-87.726525,$,818,4.5
4706,Tanta,HkUUKDwlIu869ECubV4NfA,Chicago,IL,Peruvian,41.891861,-87.6320114,$$$,1113,4.0
4707,Lou Malnati's Pizzeria,FqzYCiJ29FGw6KFAGrpuJQ,Chicago,IL,Bars,41.90259525277,-87.6286705209015,$$,1464,4.0
4708,MingHin Cuisine,s1JPKx5lAeoq7QU8pmN-5A,Chicago,IL,Seafood,41.8532564325305,-87.6349026829699,$$,2147,4.0
4709,Nhu Lan Saigon Subs,kysa2NqoR8iYIjuaWELeZA,Chicago,IL,Vietnamese,41.9687048,-87.6944151,$,803,4.5
4710,The Aviary,ssrgrr-IjNFSdlLzCK5p0A,Chicago,IL,Cocktail Bars,41.8865304811531,-87.6520544164074,$$$$,1349,4.0
4711,Hoosier Mama Pie Company,XmFML20vtMPMuKCXlR2Fzg,Chicago,IL,Desserts,41.896234,-87.668002,$$,809,4.5
4712,Cindy's,riT822EnU7y_5eCuJsd9sA,Chicago,IL,American (New),41.8816894031196,-87.6250061730162,$$,1642,4.0
4713,Handlebar,zF9o33BVqLUOcCmnuB2eQw,Chicago,IL,Vegetarian,41.9100899,-87.6853,$$,1390,4.0
4714,Intelligentsia Coffee,kWOELNlUM14bv0m-slvq6A,Chicago,IL,Coffee & Tea,41.877995,-87.6295658341911,$$,1157,4.0
4715,Sultan's Market,O6uWHgJzylSjWjPSJKGhnQ,Chicago,IL,Middle Eastern,41.910362,-87.67973,$,1284,4.0
4716,Spacca Napoli,0fFLUKl71vv3eNV2xhikEw,Chicago,IL,Pizza,41.963286,-87.673801,$$,1457,4.0
4717,Roka Akor - Chicago,rgHFY55p10VVur7N3s-z5Q,Chicago,IL,Sushi Bars,41.8905877769375,-87.6312957381504,$$$,1147,4.0
4718,Owen & Engine,Z7Z0QCpKxJ_1JQcr6mz3VA,Chicago,IL,Gastropubs,41.93047,-87.68823,$$,1088,4.0
4719,Gather,WODBuNjlEgNIf459Wh-AWw,Chicago,IL,Wine Bars,41.9643402,-87.6853638,$$,818,4.5
4720,Davanti Enoteca,IvdOI86_CSCRFpid2atnyA,Chicago,IL,Italian,41.86911,-87.66147,$$,1204,4.0
4721,The Signature Room at the 95th,L1CS0gyTolKComzGwLk37A,Chicago,IL,Lounges,41.898796081543,-87.6230239868164,$$$,3141,3.5
4722,Coalfire Pizza,wiNuegM8MNw9WIP0wfMmeA,Chicago,IL,Pizza,41.89075,-87.65988,$$,1054,4.0
4723,Sawada Coffee,G-LUoHk_E_XCjSoSsaflFw,Chicago,IL,Coffee & Tea,41.8836669921875,-87.6489334106445,$$,584,4.5
4724,RAMEN-SAN,zIXZtgiir9CVF-iZeeAvaQ,Chicago,IL,Ramen,41.889798,-87.630293,$$,2003,4.0
4725,Stan's Donuts & Coffee,tzxnPFzKhLN1lu6Yn9g2tg,Chicago,IL,Donuts,41.910064,-87.677643,$$,1029,4.0
4726,DMK Burger Bar,763ARZeDvQfhXZvkDlKtFw,Chicago,IL,Burgers,41.936055,-87.65411,$$,1944,4.0
4727,Giordano's,Bxd9Y2PsdvIOGIKFQh53RQ,Chicago,IL,Pizza,41.885165,-87.623753,$$,2537,3.5
4728,Jeni's Splendid Ice Creams,nr3JxrY1zQDLsYKUKPqWzA,Chicago,IL,Ice Cream & Frozen Yogurt,41.943679,-87.664267,$$,585,4.5
4729,Toro Sushi,sjhBzCcFE2bzAG3j53roZQ,Chicago,IL,Sushi Bars,41.92907,-87.64281,$$,1085,4.0
4730,Ēma,tuJraaFffIS_JNK_4ZqGTA,Chicago,IL,Mediterranean,41.8909649,-87.6306233,$$,897,4.5
4731,Honey Butter Fried Chicken,eUlykGltBGH0RC5lkwx2eg,Chicago,IL,Chicken Shop,41.9426302817062,-87.7027218416333,$$,1857,4.0
4732,BIG & little's Restaurant,ZjHA6dwdgGXm-NjUcFezOA,Chicago,IL,Fish & Chips,41.898386,-87.63726,$$,1188,4.0
4733,En Hakkore 2.0,kUpqpEqkBjZguS1uA6NQYA,Chicago,IL,Asian Fusion,41.90869,-87.6743,$$,426,4.5
4734,Antique Taco,YU3XvseN8keVmipgidQ94w,Chicago,IL,Mexican,41.9063606,-87.6716766,$$,1218,4.0
4735,Taste of Lebanon Restaurant,6hw-HPdP1oDpCbMHBLid-w,Chicago,IL,Middle Eastern,41.9760635,-87.6686494,$,676,4.5
4736,Monteverde,o0DaPvRb4IWH7hUWVCnoGw,Chicago,IL,Italian,41.88191,-87.65302,$$$,759,4.5
