Category,Number of Restaurants,Average # of Reviews per Restaurant,Percentage of Ratings
American (New),4,431.0,4.375
American (Traditional),3,836.3333333333334,4.166666666666667
Bars,4,2318.75,4.125
Breweries,1,435.0,4.5
Burgers,29,500.48275862068965,4.120689655172414
Hot Dogs,3,488.0,4.5
Mexican,1,60.0,4.5
Pizza,1,195.0,4.5
Pubs,1,4994.0,4.0
Sandwiches,1,232.0,4.0
Seafood,1,392.0,4.0
Southern,1,279.0,4.5
