Category,Number of Restaurants,Average # of Reviews per Restaurant,Percentage of Ratings
American (New),2,444.5,4.25
American (Traditional),2,429.0,4.25
Breakfast & Brunch,1,64.0,4.5
Burgers,41,296.4634146341463,4.097560975609756
Filipino,1,484.0,4.5
Grocery,1,681.0,4.0
Hot Dogs,1,122.0,4.5
Tex-Mex,1,489.0,4.5
