,Business,Business ID,City,State,Category,Latitude,Longitude,Price,Reviews
161,INC American Bar & Kitchen,S9qg-6LQtkk99kBHZLv1Jg,New Brunswick,NJ,American (New),40.4925980248019,-74.4435093298896,$$,229
162,30 Burgers,cSLYiw4NLrgnDbtc_0k9Jw,East Brunswick,NJ,Burgers,40.45422,-74.39928,$,53
163,Five Guys,5yuZ8xyIcb11uNr8Y1XOug,North Brunswick,NJ,Burgers,40.4609401,-74.4587139,$$,37
164,Scarlet 158 Deli,QoR7j4VW2PShyy9CTiGm1Q,New Brunswick,NJ,Delis,40.49829,-74.45765,0,3
165,Elixir Bar & Grill,jakk8dqkNPArNqNg3mHeHA,Edison,NJ,Tex-Mex,40.5011909066979,-74.3927383121075,$$,153
166,Gio's Deli,fO4SH50_5yPL_8wsXwSLzg,New Brunswick,NJ,Wraps,40.495466,-74.444838,$$,10
167,George Street Ale House,Wn4OJxDd4wZFAZet-eSrhw,New Brunswick,NJ,Gastropubs,40.49567,-74.44435,$$,245
168,Five Guys,ydINVSu6fYeLyoXH66P5-w,South Plainfield,NJ,Burgers,40.54962,-74.42569,$,39
169,Park Place,jrancCVFAe3VGLnUM0cQaw,Highland Park,NJ,Kosher,40.498001,-74.431449,$$,18
170,White Castle,BFApZ1ZH4-dBU7lrVk15Ag,New Brunswick,NJ,Fast Food,40.4855431672125,-74.4713161793865,$,44
171,Clydz,MCn2ruEcchjL0UOqROaEMQ,New Brunswick,NJ,American (New),40.495089,-74.445487,$$,644
172,Flame Kabob House,rpJhltERJlUuFcV3iQur7w,Franklin Township,NJ,Halal,40.51532,-74.48855,0,14
173,PJ's Grill & Pizza,Sxl30p6GXmHfEmXzEPPsSQ,New Brunswick,NJ,Pizza,40.4998488455674,-74.4544027263963,$,119
174,Old Man Rafferty's,kPqMRmkKbz88cOJdcsifVA,New Brunswick,NJ,Bars,40.4965737,-74.4437916,$$,545
175,Stage Left Steak,DPyTHTX6jr1ND7PXYS9z4Q,New Brunswick,NJ,American (Traditional),40.493785005224,-74.4437874349408,$$$,187
176,Golden Lion Inn,V406kWdv4-G-YBIEwc3i5g,Milltown,NJ,American (Traditional),40.45094,-74.43569,$,76
177,"MOOYAH Burgers, Fries & Shakes",wHl41FX3fEHVQbEqeFAl7w,Franklin Township,NJ,Burgers,40.529237,-74.539237,$$,56
178,Red Robin Gourmet Burgers and Brews,5INBYUVqCav0R0ZTOG02Ng,South Plainfield,NJ,Burgers,40.55531,-74.430693,$$,162
179,Smashburger,5BDRCRNPCPGlWmNq_oNESw,East Brunswick,NJ,Burgers,40.434729749932,-74.3913401920461,$,130
180,Harvest Moon Brewery / Cafe,JpQznQlrkgZQogLOQXH9mg,New Brunswick,NJ,Beer Bar,40.4961759134207,-74.4443214067832,$$,407
181,Judy's kitchen,aFhQeJQIrR1imAhjUMAccw,New Brunswick,NJ,Spanish,40.4979628408067,-74.451482825053,$,25
182,Changarro Las Rosas Chimi Pollo,YxwYAEilsW9n266B7Ko9gw,New Brunswick,NJ,Latin American,40.480004,-74.445358,0,1
183,Five Guys,6Sleh5v7oAHCgfIoijtupg,East Brunswick,NJ,Burgers,40.428452,-74.3861491,$,12
184,Burgerim - Metuchen,o1Y-sXvZeNHhPgm_jr_N7w,Metuchen,NJ,Burgers,40.54079,-74.3675,0,19
185,Twenty/20 Taphouse,plbuCrJd7_mlDLERvV-39Q,Somerset,NJ,Burgers,40.533787,-74.509521,$$,87
186,Veganized,QMBbqDZmYZc0dXFwBgf1_g,New Brunswick,NJ,Vegan,40.494828,-74.444994,$$,524
187,Brick House Bar & Grill,zlLs4R_oYlcwgRLLGInVkg,Sayreville,NJ,Bars,40.45869,-74.35179,$$,45
188,Hub City Brewhouse,9LarearMJdGmt7lWY3OUtA,New Brunswick,NJ,Sports Bars,40.4942410909884,-74.4432822580296,$$,74
189,Deccan Delights,V7EgzmIMisdYWVA8S07fUA,New Brunswick,NJ,Indian,40.49968,-74.45304,0,1
190,Stuff Yer Face,-PlK17Po5nchDnqNoYG9xQ,New Brunswick,NJ,Pubs,40.4980567440164,-74.4489870653596,$$,600
191,Arooga's,L62G08xR1OuXzMOgaqlMsg,East Brunswick,NJ,Sports Bars,40.415067,-74.371187,$$,284
192,Jk Luncheonette and Grill,BqSvB1K3F3N60uyW1cCoog,New Brunswick,NJ,Breakfast & Brunch,40.49269,-74.44793,0,4
193,Blackthorn Restaurant and Irish Pub,t9TNKhddbmd9S7PSWJLeRg,New Brunswick,NJ,Irish,40.4961717,-74.4432955,$$,42
194,In N Out Deli & Grocery,hc_XXIJlnZmydY3IrL2AEA,New Brunswick,NJ,Delis,40.497466,-74.452231,0,1
195,Sophie's Bistro,PnGgduDWQOOEIrDJpqpxcg,Somerset,NJ,French,40.491369,-74.4723549,$$,210
196,Red Robin Gourmet Burgers and Brews,4ZaL8izfckslCUWZJL_a2w,East Brunswick,NJ,Burgers,40.4237875523922,-74.3817118166718,$$,92
197,Halal Boys,0C_UFtpdDNOg6V622PHfLQ,North Brunswick,NJ,Middle Eastern,40.458932727708,-74.4726570312134,$,38
198,Campus Pizza,bHGqy6vif35iJ4OawId_2A,New Brunswick,NJ,Pizza,40.49969,-74.454055,0,2
199,Gusto Grill,1QBqkHaHZf2WxdDG9olYtg,East Brunswick,NJ,Bars,40.419075,-74.374159,$$,348
