,Business,Business ID,City,State,Category,Latitude,Longitude,Price,Reviews
343,Angie's Café & Bakery,oMg7GX3V1-GPqBbRZQ9MEA,Metuchen,NJ,Bakeries,40.5376122011973,-74.3600023820753,$$,66
344,Mariachi Mexican Restaurant,a91L1Y__Krsfhs-_El0uqg,Metuchen,NJ,Mexican,40.541554,-74.361781,$$,209
345,Scala Pastry,xLaqWpiPeNzPmZ3lzR2few,North Brunswick,NJ,Bakeries,40.4399722,-74.4778309,$$,68
346,Outback Steakhouse,qTeEedGNiONfnTHY0ce6AQ,Edison,NJ,Steakhouses,40.505305,-74.397495,$$,109
347,Kong Full Chef,jQrceVQzKNmpYm-ABoYeiQ,Somerset,NJ,Chinese,40.5153227,-74.48858,$$,93
348,Bagel Pantry,dkTY6w-Cl4spq-AIXFDDPw,Metuchen,NJ,Bagels,40.54282,-74.36327,$,102
349,Mi Tea,nNEJAng5BcwqUyGrh0CUCQ,Edison,NJ,Bubble Tea,40.51299,-74.40515,$,46
350,Buffalo Wild Wings,TrfHm4iFFnluzlFDDMJADg,North Brunswick,NJ,Chicken Wings,40.44704,-74.4985,$$,225
351,Art of Salad - Piscataway,qbqQxInzd7MulS4mkQHUXg,Piscataway,NJ,Salad,40.55222,-74.44128,$$,29
352,Brewed Awakening,SfXAca8vn8L1jTFg6uCRVg,Metuchen,NJ,Coffee & Tea,40.5416942,-74.3617014,$$,145
353,Joong Hwa Ru,nDOboaohLGePuyAz6-MpNA,Edison,NJ,Korean,40.525835,-74.387702,$$,71
354,Henry's Diner,6HTAfsSLsTrokjGXDQy8qQ,Piscataway Township,NJ,Diners,40.5251518303624,-74.439410258989,$,80
355,Francesco Pizzeria & Restaurant,0-mCrK7QdnDcCX8AkjdMOw,Milltown,NJ,Pizza,40.4517149052617,-74.4382215609978,$$,59
356,Akbar Restaurant,177WmaOaHsO5KGGNfgm_TA,Edison,NJ,Indian,40.52538,-74.36157,$$,186
357,Healthy Garden Restaurant and Gourmet Pizza,vJ8O9bIaUR2nC4NI1uaufQ,Piscataway Township,NJ,Pizza,40.5508256594248,-74.4348606514638,$$,211
358,Luigi's Ice Cream,5MSLFXWsdmEBHnlgHG71sg,Metuchen,NJ,Ice Cream & Frozen Yogurt,40.54086,-74.36591,$$,53
359,China Star,4Sh_ZpB51z2nucIvs259fA,Highland Park,NJ,Chinese,40.49856,-74.4333599,$,22
360,Rice And Roll Kitchen,68FOYqxZb3S9bRvGw894SQ,Piscataway Township,NJ,Indian,40.539844,-74.422201,$$,57
